date,wind_speed,pressure,temperature,relative_humidity,precipitable_water,dew_point
1/1/2013 0:00,3.4,997,7.5,95.7,1.5,6.9
1/1/2013 0:30,3.3,998,6.8,100,1.4,6.8
1/1/2013 1:00,3.2,998,6.2,96.59,1.4,5.7
1/1/2013 1:30,3.2,998,5.7,99.98,1.3,5.7
1/1/2013 2:00,3.3,999,5.2,97.35,1.2,4.8
1/1/2013 2:30,3.5,999,4.9,99.4,1.1,4.8
1/1/2013 3:00,3.6,999,4.7,96.55,1,4.2
1/1/2013 3:30,3.6,999,4.4,98.6,1,4.2
1/1/2013 4:00,3.6,1000,4.2,96.72,0.9,3.7
1/1/2013 4:30,3.6,1000,4,98.09,0.9,3.7
1/1/2013 5:00,3.6,1000,3.8,95.97,0.9,3.2
1/1/2013 5:30,3.5,1001,3.5,98.12,0.9,3.2
1/1/2013 6:00,3.4,1002,3.3,96.71,0.9,2.8
1/1/2013 6:30,3.4,1002,3.2,97.39,0.9,2.8
1/1/2013 7:00,3.5,1003,3.1,96.43,0.9,2.6
1/1/2013 7:30,3.5,1003,3.1,96.43,0.9,2.6
1/1/2013 8:00,3.6,1004,3.1,95.96,0.9,2.5
1/1/2013 8:30,3.8,1004,3.5,93.29,0.8,2.5
1/1/2013 9:00,4,1004,3.9,93.98,0.8,3
1/1/2013 9:30,4.1,1005,4.5,90.21,0.8,3
1/1/2013 10:00,4.2,1006,5,91.3,0.8,3.7
1/1/2013 10:30,4.2,1006,5.6,87.58,0.8,3.7
1/1/2013 11:00,4.3,1006,6.1,86.8,0.8,4.1
1/1/2013 11:30,4.4,1006,6.4,85.03,0.8,4.1
1/1/2013 12:00,4.4,1006,6.7,81.87,0.8,3.8
1/1/2013 12:30,4.4,1006,6.7,81.87,0.8,3.8
1/1/2013 13:00,4.3,1007,6.8,79.57,0.8,3.5
1/1/2013 13:30,4.1,1007,6.5,81.22,0.9,3.5
1/1/2013 14:00,3.8,1007,6.3,82.11,0.9,3.5
1/1/2013 14:30,3.4,1008,5.6,86.26,0.9,3.5
1/1/2013 15:00,3.1,1008,4.8,90.15,0.9,3.3
1/1/2013 15:30,3,1008,4.2,94.01,0.9,3.3
1/1/2013 16:00,2.9,1009,3.6,96.72,0.9,3.1
1/1/2013 16:30,3.1,1009,3.4,98.1,0.9,3.1
1/1/2013 17:00,3.2,1010,3.3,98.74,1,3.1
1/1/2013 17:30,3.4,1010,3.2,99.44,1,3.1
1/1/2013 18:00,3.6,1010,3.1,99.18,1,3
